pl_name,pl_rade,pl_bmasse
"Kepler-908 b",1.07000000,
"Kepler-397 c",,
"Kepler-60 d",1.76000000,
"Kepler-546 b",,
"Kepler-116 b",3.43000000,
"Kepler-181 b",1.37100000,
"Kepler-188 b",1.84000000,
"K2-230 b",1.93420564,
"Kepler-1077 b",2.64000000,
"Kepler-1800 b",0.85200000,
"Kepler-1005 b",1.52000000,
"Kepler-376 b",,
"HD 331093 b",,476.74261050
"Kepler-1890 b",0.84000000,
"K2-139 b",9.26802368,
"HD 108874 c",,362.00655557
"Kepler-1892 b",1.48000000,
"MOA-2012-BLG-505L b",,6.70000000
"Kepler-305 b",,
"Kepler-1586 b",1.95000000,
"Kepler-183 b",2.19000000,
"Kepler-1037 b",,
"Kepler-132 b",1.22000000,
"Kepler-1722 b",2.20000000,
"Kepler-209 b",2.29000000,
"Kepler-690 b",5.95000000,
"Kepler-280 c",1.84000000,
"K2-21 c",1.53000000,
"Kepler-118 b",,
"Kepler-1809 b",,
"Kepler-301 c",1.38000000,
"Kepler-544 b",,
"Kepler-1458 b",,
"Kepler-107 e",3.07000000,
"Kepler-1392 b",,
"Kepler-1509 b",1.91000000,
"Kepler-568 b",2.11000000,
"Kepler-99 b",1.81200000,
"HD 202206 c",,5689.15700000
"Kepler-85 c",2.14000000,20.90000000
"Kepler-423 b",,
"TOI-1248 b",6.80848590,27.40000000
"HD 260655 c",1.89602000,
"TOI-4773 b",15.22179579,1687.66884117
"Kepler-391 c",,
"Kepler-58 c",,
"Kepler-1898 b",0.93353523,
"Kepler-295 b",,
"Kepler-1272 b",2.41000000,
"Kepler-675 b",2.38000000,
"Kepler-454 b",1.88000000,
"K2-240 b",2.00000000,
"Kepler-1536 b",2.98000000,
"Kepler-952 b",,
"Kepler-1248 b",1.04000000,
"Kepler-121 b",,
"Kepler-1886 b",2.58158428,
"K2-343 c",2.44000000,
"HD 73267 b",,1462.01067220
"Kepler-887 b",1.91500000,
"Kepler-392 b",1.20000000,
"Kepler-799 b",,
"Kepler-132 b",1.22000000,
"Kepler-1721 b",,
"Kepler-1807 b",2.14000000,
"Kepler-524 c",1.03000000,
"Kepler-1146 b",1.35000000,
"Kepler-1094 b",3.05900000,
"Kepler-79 b",2.73000000,
"Kepler-223 e",48.78500000,
"Kepler-280 c",2.04000000,
"Kepler-1218 b",1.36000000,
"Kepler-1630 b",2.62000000,
"Kepler-438 b",,
"Kepler-1828 b",1.74000000,
"Kepler-1347 b",0.99000000,
"Kepler-32 b",2.25000000,9.40000000
"Kepler-1133 b",,
"Kepler-209 c",,
"Kepler-1422 b",,
"K2-24 c",7.50000000,15.40000000
"Kepler-1576 b",1.04000000,
"KOI-351 g",,
"Kepler-55 e",1.55000000,
"Kepler-1748 b",3.30000000,
"Kepler-229 c",,
"Kepler-357 c",2.17900000,
"Kepler-745 b",1.92000000,
"Kepler-32 d",2.50000000,
"K2-331 c",2.50000000,
"Kepler-149 c",1.66000000,
"K2-203 b",1.37000000,
"Kepler-60 d",1.76000000,
"Kepler-248 c",4.14000000,
"HIP 75092 b",,568.91284853
"Kepler-1391 b",,
"Kepler-1438 b",0.88000000,
"Kepler-1129 b",,
"Kepler-105 c",1.91000000,
"Kepler-716 c",1.78000000,
"Kepler-259 c",2.71000000,
"Kepler-415 b",1.61000000,
"Kepler-1470 b",1.15000000,
"Kepler-31 d",3.90000000,2161.24400000
"Kepler-109 c",2.65000000,8.20000000
"Kepler-1825 b",1.35000000,
"Kepler-431 c",0.72000000,
"TRAPPIST-1 e",0.92000000,0.69200000
"Kepler-534 c",1.06000000,
"Kepler-147 b",1.33000000,
"Kepler-562 b",5.12000000,
"Kepler-607 c",2.76001201,
"Kepler-351 b",2.74000000,
"Kepler-1284 b",1.21000000,
"Kepler-1728 b",2.50000000,
"Kepler-11 e",,8.79000000
"Kepler-139 e",,378.00000000
"HIP 38594 c",,48.40000000
"Kepler-877 b",2.30000000,
"K2-389 b",2.11800000,
"EPIC 220674823 b",1.87000000,8.03000000
"Kepler-1099 b",,
"Kepler-137 b",,
"Kepler-58 b",3.10000000,
"Kepler-1491 b",1.39000000,
"Kepler-951 b",5.10500000,
"Kepler-400 b",1.76000000,
"Kepler-18 d",6.63000000,15.70000000
"Kepler-271 d",0.71000000,
"Kepler-1913 b",,
"Kepler-1335 b",1.61000000,
"TOI-5688 A b",9.41494000,
"TOI-4734 b",10.91754720,61.65871096
"Kepler-460 c",6.10000000,
"Kepler-263 b",2.67000000,
"Kepler-947 b",,
"Kepler-121 c",,
"Kepler-1026 b",2.21000000,
"Kepler-594 b",2.18000000,
"Kepler-705 b",2.76000000,
"Kepler-1146 b",,
"Kepler-361 b",1.58400000,
"XO-5 b",,
"TOI-2095 c",1.44752461,
"TOI-1386 b",6.21638650,45.80000000
"Kepler-223 d",,
"Kepler-371 b",1.89000000,
"Kepler-462 b",5.04405000,
"Kepler-142 c",,
"Kepler-1173 b",0.87900000,
"Kepler-758 d",,
"Kepler-257 c",4.56000000,
"Kepler-178 c",,
"Kepler-1870 b",,
"Kepler-1569 b",1.25000000,
"Kepler-400 b",,
"Kepler-787 b",1.47000000,
"Kepler-1136 b",1.37000000,
"HD 154391 b",,2892.23850370
"Kepler-340 c",3.37000000,
"Kepler-1030 b",2.52000000,
"Kepler-1609 b",2.05000000,
"Kepler-229 c",4.92000000,
"Kepler-33 c",3.20000000,
"Kepler-1266 b",2.58000000,
"Kepler-1118 b",,
"Kepler-1254 b",1.54000000,
"51 Peg b",,147.47238085
"Kepler-1771 b",2.51000000,
"Kepler-1820 b",2.70000000,
"Kepler-1637 b",0.89000000,
"Kepler-1397 b",1.61000000,
"Kepler-1948 b",,
"Kepler-879 b",2.57000000,
"Kepler-815 b",4.43200000,
"Kepler-161 b",2.14000000,
"Kepler-484 b",,
"Kepler-1389 b",1.77000000,
"HD 92788 b",,1061.55220000
"Kepler-130 d",1.37900000,
"Kepler-1463 b",1.86000000,
"OGLE-2012-BLG-0026L b",,35.00000000
"Kepler-1563 b",0.75000000,
"Kepler-778 b",1.68000000,
"Kepler-377 b",1.16000000,
"Kepler-475 b",2.47000000,
"HAT-P-37 b",,
"K2-185 b",1.31284773,
"HATS-71 b",10.32616195,
"Kepler-487 c",2.62000000,
"Kepler-1032 b",1.49000000,
"Kepler-327 d",,
"HD 75289 b",,155.73670000
"Kepler-323 c",1.93000000,
"Kepler-1352 b",0.84000000,
"Kepler-515 b",1.75000000,
"Kepler-357 c",2.67000000,
"Kepler-1178 b",0.73000000,
"OGLE-2017-BLG-0448L b",,7.28000000
"Kepler-1795 b",,
"Kepler-325 c",3.33000000,
"Kepler-775 b",1.19200000,
"EPIC 212424622 b",2.17000000,
"Kepler-341 c",1.70000000,
"Kepler-67 b",,
"K2-53 b",,
"Kepler-106 e",,
"KMT-2021-BLG-1391L b",,3.57000000
"BD-13 2130 b",,3108.37740000
"eps CrB b",,2129.46100000
"Kepler-1202 b",2.40000000,
"Kepler-997 b",,
"Kepler-84 e",2.30000000,
"Kepler-29 c",3.14000000,4.00000000
"Kepler-1407 b",2.16000000,
"Kepler-924 b",,
"HAT-P-11 b",,24.02794800
"K2-3 d",1.52000000,
"Kepler-449 c",,
"Kepler-1489 b",1.67000000,
"Kepler-265 b",1.67000000,
"Kepler-684 b",5.75100000,
"Kepler-1557 b",,
"Kepler-370 c",1.91000000,
"Kepler-603 d",,
"OGLE-2012-BLG-0950L b",,25.00000000
"Kepler-1342 b",1.66000000,
"Kepler-343 b",1.79000000,
"Kepler-281 c",4.90000000,
"Kepler-393 b",1.51000000,
"Kepler-84 b",3.03000000,
"Kepler-394 d",1.50000000,
"Kepler-32 d",,39.90890000
"Kepler-237 b",1.50000000,
"Kepler-1608 b",1.63000000,
"Kepler-52 d",1.95000000,
"Kepler-635 b",,
"Kepler-321 c",2.32000000,
"HD 185269 b",,327.35000000
"Kepler-780 b",0.89000000,
"HIP 41378 b",2.59500000,6.89000000
"Kepler-1549 b",,
"Kepler-204 c",1.78000000,
"Kepler-253 d",,
"Kepler-1164 b",1.22000000,
"Kepler-712 c",4.55300000,
"Kepler-666 b",2.21000000,
"Kepler-256 e",,
"Kepler-161 b",2.29000000,
"K2-205 b",2.20900000,
"OGLE-2012-BLG-0950L b",,31.00000000
"K2-224 c",2.50540750,
"Kepler-260 b",2.10800000,
"KOI-351 g",6.86000000,
"Kepler-179 b",1.80000000,
"KOI-351 c",1.44500000,
"Kepler-816 b",10.24000000,
"Kepler-833 b",2.13900000,
"Kepler-1715 b",3.79800000,
"Kepler-79 e",3.00000000,
"Kepler-173 b",1.28000000,
"GJ 328 b",,797.74930157
"Kepler-24 d",1.72000000,
"Kepler-885 b",,
"Kepler-283 c",2.05500000,
"GJ 667 C f",,2.70000000
"CoRoT-5 b",18.38267405,
"Kepler-37 d",,
"Kepler-117 b",6.04000000,
"Kepler-256 b",1.37000000,
"HD 18742 b",,1185.50590000
"Kepler-1882 b",1.55000000,
"Kepler-1061 b",,
"GJ 876 c",,251.07500000
"K2-197 b",,
"Kepler-432 b",,
"Kepler-229 b",2.49000000,
"Kepler-1256 b",1.50000000,
"Kepler-910 b",0.82000000,
"K2-391 b",1.37100000,
"Kepler-1001 b",,
"Kepler-438 b",0.97000000,
"Kepler-330 c",2.21000000,
"Kepler-750 b",,
"Kepler-668 b",2.52000000,
"Kepler-903 c",2.75000000,
"Kepler-1880 b",,
"Kepler-290 b",,
"Kepler-1085 c",,
"Kepler-143 c",2.36000000,
"Kepler-212 c",2.06000000,
"Kepler-294 b",1.73000000,
"Kepler-989 b",2.56000000,
"Kepler-377 c",,
"Kepler-345 b",1.08000000,
"Kepler-198 d",1.53000000,
"Kepler-296 e",1.08000000,
"Kepler-1249 b",,
"Kepler-1729 b",,
"Kepler-378 c",1.80000000,
"Kepler-871 b",3.14000000,
"Kepler-1424 b",1.10000000,
"Kepler-119 b",4.28300000,
"Kepler-107 b",1.55000000,
"G 192-15 b",,1.03000000
"Kepler-131 b",,
"Kepler-149 c",1.75300000,
"Kepler-148 c",3.55000000,
"K2-368 d",1.94800000,
"HD 125612 d",,2313.80240000
"Kepler-219 d",,
"Kepler-278 c",2.99000000,
"Kepler-1068 b",,
"Kepler-988 b",1.93000000,
"CoRoT-23 b",11.77000000,889.90000000
"Kepler-647 c",,
"Kepler-327 d",1.73000000,
"Kepler-733 b",2.82000000,
"Kepler-161 b",,2.63000000
"Kepler-1540 b",2.30000000,
"Kepler-184 d",2.49700000,
"Kepler-407 b",,
"Kepler-197 c",1.23000000,5.30000000
"Kepler-769 b",2.92000000,
"Kepler-191 c",2.11000000,
"Kepler-1487 c",8.95899963,
"Kepler-1748 b",,
"Kepler-325 c",2.79200000,
"Kepler-474 b",3.80000000,
"Kepler-730 b",,
"Kepler-473 b",,
"Kepler-226 d",1.30000000,
"Kepler-740 b",,
"GJ 317 b",,588.93603817
"Kepler-947 b",2.40000000,
"Kepler-174 c",1.78300000,
"Kepler-913 b",2.06000000,
"Kepler-957 b",6.25600000,
"Kepler-1035 b",1.00000000,
"HD 62549 b",,2707.58019923
"Kepler-1091 b",1.09000000,
"MOA-2007-BLG-192L b",,3.30000000
"K2-104 b",1.79000000,
"Kepler-235 b",2.11000000,
"EPIC 220554210 c",1.48000000,
"Kepler-387 c",1.00000000,
"Kepler-1092 b",2.07000000,
"Kepler-676 b",,
"Kepler-33 f",4.46000000,
"Kepler-820 b",,
"Kepler-1619 b",,
"Kepler-215 d",2.45000000,
"Kepler-1263 b",1.14000000,
"Kepler-100 c",,
"Kepler-354 c",,
"Kepler-1556 b",2.06000000,
"Kepler-309 c",,
"Kepler-1192 b",2.57000000,
"HD 108874 b",,543.47000000
"Kepler-795 b",1.76000000,
"Kepler-74 b",14.80000000,216.12000000
"Kepler-1461 b",1.96000000,
"K2-208 b",1.67866113,
"Kepler-1641 b",3.92000000,
"Kepler-260 b",,
"Kepler-1502 b",2.11000000,
"Kepler-446 d",1.14000000,
"Kepler-137 b",1.61400000,
"Kepler-313 b",,
"Kepler-1432 b",,
"Kepler-638 b",,
"OGLE-2015-BLG-0966L b",,21.00000000
"Kepler-330 b",,
"Kepler-42 d",0.77300000,
"Kepler-288 b",1.55800000,
"iot Dra c",,4958.12314920
"Kepler-1497 b",1.66000000,
"Kepler-202 c",1.88000000,
"NN Ser d",,731.00000000
"HD 72659 b",,1048.80000000
"Kepler-391 b",2.50000000,1100.00000000
"Kepler-1001 c",1.90000000,
"Kepler-188 b",,
"Kepler-338 b",2.44000000,
"Kepler-205 c",1.58000000,
"K2-104 b",2.43000000,
"Kepler-520 c",1.07000000,
"Kepler-446 c",1.11000000,
"Kepler-248 c",4.22000000,
"Kepler-1924 b",1.20000000,
"Kepler-270 c",1.59000000,
"Kepler-1841 b",,
"HD 120084 b",,2415.49589320
"Kepler-1154 b",1.67000000,
"HD 184010 c",,95.34852210
"K2-269 b",1.40000000,
"Kepler-913 b",2.62000000,
"Kepler-1154 c",1.67000000,
"HD 45364 b",,60.16491745
"GJ 163 d",,29.40000000
"Kepler-1323 b",,
"Kepler-122 b",1.92000000,
"Kepler-1294 b",3.02000000,
"Kepler-1157 b",,
"Kepler-228 d",,
"Kepler-1137 b",2.90000000,
"Kepler-736 b",,
"Kepler-153 b",2.87000000,
"Kepler-245 b",,
"Kepler-222 d",3.75000000,
"Kepler-1109 b",,
"Kepler-565 b",,
"Kepler-443 b",2.32000000,
"Kepler-361 c",2.55000000,
"Kepler-188 b",1.63000000,
"Kepler-1437 b",1.32000000,
"Kepler-159 b",2.60000000,
"Kepler-347 c",1.75000000,
"Kepler-379 c",2.22000000,
"Kepler-342 e",1.18000000,
"Kepler-618 b",2.31000000,
"Kepler-1267 b",2.89900000,
"Kepler-1238 b",,
"Kepler-832 b",2.25000000,
"VHS J125601.92-125723.9 b",,6038.73973300
"HD 81817 b",,7668.56380410
"Kepler-79 c",,11.40000000
"Pr0201 b",,171.62820000
"Kepler-730 b",10.30000000,
"Kepler-981 b",2.21700000,
"Kepler-1579 b",,
"Kepler-355 c",2.82000000,
"Kepler-298 b",2.20000000,
"Kepler-272 c",1.87000000,
"Kepler-634 b",2.14500000,
"Kepler-215 c",,
"Kepler-337 c",,
"Kepler-1179 b",1.34000000,
"CoRoT-28 b",10.70459500,153.82972000
"K2-195 b",3.00000000,
"Kepler-220 c",,
"Kepler-363 c",2.35000000,
"Kepler-256 c",2.11000000,
"Kepler-1736 b",2.44000000,
"Kepler-822 b",1.52000000,
"Kepler-1093 c",2.08000000,
"Kepler-1387 b",0.87000000,
"Kepler-1155 b",2.60000000,
"Kepler-398 c",,
"Kepler-520 b",2.53800000,
"BD-17 63 b",,905.81550000
"Kepler-1050 c",1.48000000,
"HD 100777 b",,327.36490000
"Kepler-624 b",2.45000000,
"Kepler-632 b",,
"Kepler-1019 b",,
"Kepler-838 b",2.77000000,
"Kepler-1083 b",,
"Kepler-1311 d",,
"KMT-2019-BLG-0253L b",,9.20000000
"Kepler-1601 b",0.85100000,
"Kepler-67 b",2.83000000,
"Kepler-227 b",2.50000000,
"Kepler-1078 b",1.90000000,
"Kepler-358 b",2.77000000,
"Kepler-295 c",3.61600000,
"Kepler-147 b",1.29000000,
"Kepler-766 b",,
"KMT-2018-BLG-1990L b",,180.00000000
"Kepler-164 e",,
"GJ 896 A b",,718.29219982
"Kepler-776 b",1.38000000,
"Kepler-1057 b",2.75000000,
"Kepler-62 f",1.54000000,
"Kepler-228 d",3.80000000,
"Kepler-167 b",,
"Kepler-297 c",7.54000000,
"Kepler-342 b",2.06000000,
"OGLE-2008-BLG-092L b",,57.00000000
"HD 222076 b",,540.30829190
"Kepler-1724 b",2.45000000,
"Kepler-175 c",3.22000000,
"Kepler-1508 b",0.98000000,
"Kepler-1740 b",3.32321414,
"Kepler-254 d",,
"Kepler-1338 b",0.92000000,
"HD 102195 b",,155.10104000
"HD 180053 b",,697.31902000
