pl_name,pl_rade,pl_bmasse
"51 Eri b",,
"HD 208487 b",,152.55000000
"HD 20794 b",,2.82000000
"HD 20794 d",,3.52000000
"WASP-72 b",14.23543000,459.58218000
"WASP-100 b",18.94321000,638.83830000
"K2-290 c",11.27625400,246.00042000
"XO-3 b",,
"XO-3 b",21.85751237,4211.22639275
"WASP-5 b",,
"WASP-12 b",,
"WASP-45 b",,
"XO-3 b",,
"WASP-19 b",15.86070769,366.77398168
"WASP-99 b",,
"WASP-5 b",,
"WASP-4 b",,
"WASP-19 b",,
"NGTS-6 b",8.38889408,
"WASP-45 b",10.80996251,
"K2-79 b",4.05000000,
"CoRoT-2 b",16.92270968,
"TrES-3 b",,
"CoRoT-2 b",,
"HAT-P-60 b",,
"TrES-3 b",,
"TrES-5 b",,
"WASP-114 b",,
"TrES-5 b",,
"WASP-114 b",,
"WASP-5 b",,
"WASP-99 b",,
"K2-79 b",4.60346552,
"WASP-4 b",15.12091496,381.39408840
"K2-79 b",3.99000000,3.80000000
"K2-222 b",2.41000000,5.70000000
"WASP-4 b",15.51995468,380.56773454
"CoRoT-2 b",,
"WASP-99 b",,
"XO-3 b",,
"NGTS-6 b",,
"WASP-4 b",,
"WASP-19 b",15.80466279,362.00655557
"TOI-7166 b",2.01000000,
"HD 190360 b",,476.00000000
"HD 190360 c",,22.00000000
"HD 114386 b",,464.02947422
"51 Eri b",,
"V1298 Tau b",10.27000000,
"V1298 Tau e",8.74000000,
"LP 791-18 b",1.12000000,
"LP 791-18 c",2.98584360,
"TOI-813 b",7.21688318,
"TOI-813 b",6.71000000,
"GJ 887 c",,7.60000000
"WASP-19 b",15.80469000,362.32620000
"CoRoT-2 b",16.36514000,1134.65310000
"WASP-12 b",20.45642500,454.49690000
"WASP-5 b",13.17057500,506.93885000
"TOI-220 b",3.03000000,13.80000000
"TrES-3 b",14.62774500,607.05530000
"XO-3 b",13.98883200,3759.92890000
"HD 154345 b",,317.80000000
"TrES-3 b",,513.29545000
"WASP-4 b",,368.36497000
"WASP-99 b",12.33000000,883.53000000
"HD 190360 b",,495.79000000
"TrES-3 b",14.97500000,607.03000000
"XO-3 b",,
"WASP-5 b",13.12573900,520.28771000
"WASP-5 b",12.18400000,502.15000000
"WASP-12 b",20.10000000,448.00000000
"HD 190360 c",,18.11600000
"CoRoT-2 b",16.42116000,1051.97300000
"TrES-3 b",,
"WASP-19 b",15.42358400,370.27195000
"WASP-45 b",11.11932800,318.46566000
"WASP-4 b",15.03126900,397.28750000
"WASP-12 b",20.84874000,638.83830000
"CoRoT-2 b",,
"WASP-5 b",,
"WASP-114 b",15.00885100,562.24127000
"K2-79 b",3.69000000,
"XO-3 b",,
"WASP-4 b",,
"WASP-19 b",15.60292800,339.76027000
"XO-3 b",13.64100000,3747.06000000
"WASP-4 b",14.90797000,375.03940000
"WASP-45 b",12.77826000,330.54320000
"HD 190360 b",,489.45820000
"HD 154345 b",,365.50450000
"HD 190360 b",,460.85350000
"WASP-99 b",12.32990000,889.92400000
"TrES-3 b",14.97522400,572.41183000
"WASP-12 b",20.45642500,441.78370000
"WASP-19 b",14.68379000,367.72931000
"WASP-4 b",14.90797000,371.86110000
"WASP-5 b",13.17057500,505.34970000
"CoRoT-2 b",16.43239400,1048.83900000
"K2-79 b",4.55000000,
"WASP-45 b",10.60371400,306.38812000
"WASP-4 b",15.63655500,
"XO-3 b",15.80469000,2316.98070000
"HAT-P-60 b",18.34280000,
"TOI-220 b",2.74424329,
"HD 28185 b",,1919.68357828
"WASP-100 b",,
"HD 190360 c",,25.42627256
"HD 154345 b",,376.94449070
"WD 1856+534 b",10.60369574,1652.70771640
"HD 190360 b",,533.95172376
"TOI-2094 b",1.90000000,
"TOI-7166 b",2.39000000,
"K2-79 b",4.09000000,11.80000000
"K2-222 b",2.35000000,8.00000000
"TOI-375 b",12.76565127,
"TOI-4342 c",2.46422452,
"TOI-2133 b",2.45363469,
"TOI-2134 b",3.21883000,
"LHS 1903 c",2.75524000,
"LHS 1903 b",1.47809000,
"TOI-411 b",1.72000000,
"HD 191939 b",,9.66000000
"Kepler-450 c",2.49000000,
"WASP-25 b",,
"Kepler-164 c",2.69000000,
"Kepler-1073 b",,
"Kepler-411 d",,
"TOI-3474 b",14.67255574,193.87532827
"GJ 357 d",,6.10000000
"K2-29 b",,
"Kepler-68 b",2.29000000,
"HATS-68 b",16.47476108,
"Kepler-25 c",4.59000000,
"HD 63433 b",2.16351593,37.30000000
"TOI-2154 b",16.05470238,
"WASP-172 b",,
"Kepler-1019 b",1.36000000,
"Kepler-578 b",2.54000000,
"NGTS-18 b",13.56286665,129.99181846
"K2-180 b",2.24179614,11.44182265
"Kepler-37 b",0.27700000,
"Qatar-4 b",,
"TOI-561 d",2.61500000,13.33000000
"HIP 29442 c",1.58000000,4.50000000
"HIP 29442 c",1.55100000,4.50000000
"TOI-836.01",2.58700000,9.60000000
"TOI-1203 c",,5.46000000
"LP 890-9 b",1.35136063,
"TOI-5388.01",1.89426000,
"TOI-1246 d",4.38698775,
"TOI-5110 b",11.21280000,
"Kepler-7 b",17.64600000,
"TOI-5726.01",2.55400000,
"KELT-24 b",14.25784800,1646.35940000
"Kepler-425 b",8.30000000,
"WASP-31 b",17.22823300,151.92274000
"TOI-6894 b",9.38303360,
"HATS-70 b",,
"K2-105 b",,
"Kepler-313 b",1.91000000,
"HD 104067 b",,58.98500000
"HD 260655 b",1.27326000,
"Kepler-94 b",2.49000000,
"TOI-3331 A b",12.16800000,
"Kepler-426 b",11.68000000,
"HD 191939 d",3.28435831,
"HD 191939 g",,13.50000000
"HD 191939 c",3.18237760,6.10000000
"Kepler-10 b",1.47000000,3.33000000
"TOI-216.02",,
"HD 191939 d",,2.80000000
"HAT-P-24 b",,
"Kepler-495 c",0.80000000,
"NGTS-27 b",13.69380000,
"KOI-94 b",,
"HATS-1 b",,
"Kepler-762 b",12.68000000,
"Kepler-74 b",14.19000000,
"WASP-195 b",10.31226224,33.05415433
"TOI-1233.01",,
"TOI-469.01",3.42633318,5.90000000
"LP 890-9 b",1.32000000,13.20000000
"HD 191939 b",,
"TOI-469.01",3.48000000,9.60000000
"HD 191939 b",3.42000000,
"HD 191939 c",,
"HD 191939 c",,7.55000000
"TOI-1233.01",2.62316413,
"KOINTREAU-3 b",,1080.61658380
"KOINTREAU-4 b",,4862.77462710
"KOINTREAU-4 b",,3655.02668050
"TOI-4336 A b",2.13700000,3.33000000
"TOI-4336 A c",1.25100000,1.55000000
"TOI-4342 b",2.32900000,7.30000000
"TOI-4342 c",2.34900000,4.80000000
"TOI-469.01",3.36000000,5.80000000
"HIP 29442 d",1.53800000,5.14000000
"Kepler-1512 b",1.18000000,
"Kepler-249 c",,
"L 168-9 b",1.63000000,4.07000000
"HR 858 d",2.07546646,
"Kepler-543 b",2.43000000,
"K2-114 b",10.88000000,
"HATS-3 b",15.47962900,340.39593000
"Kepler-93 b",1.62900000,3.60067419
"TOI-564 b",11.43318000,464.98529000
"Kepler-19 b",2.20900000,20.30000000
"K2-199 b",1.90000000,
"Kepler-93 b",1.63000000,
"Kepler-412 b",15.03126900,299.07803000
"K2-117 c",1.94000000,
"Kepler-15 b",,
"TOI-1268 b",8.37310858,
"TOI-1235 b",,
"WASP-56 b",12.46810000,
"Kepler-468 b",14.14000000,
"Kepler-411 c",3.76000000,
"TOI-1347 c",1.67761121,9.00000000
"TOI-2345 c",2.45100000,7.27000000
"Kepler-887 c",1.19800000,
"Kepler-1894 b",1.26000000,
"Kepler-10 c",2.35000000,13.98000000
"HD 73256 c",,5085.25451200
"Kepler-210 b",2.23000000,
"TRAPPIST-1 g",1.14800000,1.14800000
"Kepler-856 b",,
"TOI-178 g",2.87000000,3.94000000
"Kepler-134 c",1.63000000,
"WASP-177 b",,
"Kepler-45 b",,
"WASP-73 b",13.00244000,597.20257000
"HD 63433 c",2.57342831,
"K2-32 b",5.62000000,
"Kepler-138 b",0.64000000,
"Kepler-1322 c",1.64000000,
"Kepler-242 c",2.82000000,
"Kepler-57 c",1.78900000,
"Kepler-169 f",3.12000000,
"XO-6 b",,
"TOI-1173 b",9.39131000,
"HATS-68 b",,
"HAT-P-57 b",15.83831700,587.98550000
"WASP-89 b",11.96638868,
"K2-415 b",1.10176240,
"TOI-2134 c",7.27000000,41.89000000
"TOI-1130 c",13.32000000,325.69000000
"TOI-2886 b",18.64053490,444.95976980
"TOI-411 c",2.74000000,
"WASP-100 b",,
"TOI-4342 b",2.26600000,
"TOI-4342 c",2.41500000,
"V1298 Tau b",9.53000000,
"V1298 Tau e",9.94000000,
"V1298 Tau d",6.43395492,98.52680617
"K2-290 c",,
"V1298 Tau b",,
"LP 791-18 b",1.21200000,
"LP 791-18 c",2.43800000,7.10000000
"LP 791-18 d",1.03200000,0.90000000
"TOI-411 c",2.32800000,9.72000000
"HD 22946 d",2.60700000,26.57000000
"TIC 257060897 b",,
"TOI-1898 b",9.39553231,129.00000000
"HD 164604 b",,4544.94622010
"TIC 257060897 b",17.26183028,201.50321004
"LP 791-18 c",2.05000000,
"HD 20794 b",,2.29000000
"HD 20794 d",,3.65000000
"GJ 887 c",,10.20000000
"V1298 Tau c",5.08000000,4.70000000
"V1298 Tau d",6.53000000,6.00000000
"V1298 Tau e",10.17000000,15.30000000
"TOI-2134 c",7.23000000,57.20000000
"K2-290 c",11.32000000,246.00000000
"HD 28185 c",,1906.97044200
"LP 791-18 c",2.48800000,7.16000000
"LP 791-18 d",1.03200000,0.91000000
"KMT-2024-BLG-0176L b",,241.54958932
"KMT-2024-BLG-0176L b",,241.54958932
"KMT-2024-BLG-1870L b",,336.89811142
"KMT-2024-BLG-1870L b",,336.89811142
"KMT-2024-BLG-2087L b",,1395.26670673
"GJ 887 c",,6.50000000
"GJ 887 d",,6.10000000
"HD 164604 b",,4195.33497240
"LHS 1903 e",1.73200000,5.79000000
"WASP-68 b",13.89916000,304.16331000
"K2-261 b",9.52763359,69.92224954
"Kepler-68 c",0.91000000,
"WASP-59 b",11.52852644,
"Kepler-755 c",1.36000000,
"Kepler-100 d",,
"Kepler-254 b",4.00000000,
"Kepler-103 c",,
"Kepler-148 d",8.10000000,
"Kepler-325 d",3.01000000,
"Kepler-45 b",10.76000000,160.49700000
"TOI-1443 b",2.11441000,
"Kepler-15 b",15.32049607,
"TOI-1136 e",2.15976695,
"Kepler-314 b",0.84000000,
"Kepler-471 b",13.49117281,
"HD 97658 b",2.35389000,8.88262703
"TOI-715 b",1.71453082,
"HD 106315 b",2.44000000,12.60000000
"HD 106315 c",4.35000000,15.20000000
"HD 106315 c",4.78600000,
"HD 97658 b",,8.26323000
"HD 106315 b",2.40000000,
"HD 97658 b",,7.85036165
"GJ 480 b",,13.20000000
"HD 97658 b",2.12000000,8.30000000
"HD 97658 b",2.43040000,
"AU Mic b",,17.10000000
"AU Mic b",,11.70000000
"AU Mic b",,10.20000000
"AU Mic c",2.52202066,
"AU Mic e",,21.10000000
"AU Mic b",4.79000000,8.99000000
"WASP-189 b",18.14733975,632.47852993
"Gliese 12 b",0.97057627,
"Gliese 12 b",0.95800000,3.87000000
"Gliese 12 b",0.90000000,10.00000000
"Gliese 12 b",0.93000000,0.95000000
"HAT-P-7 b",15.04300000,564.44200000
"HAT-P-7 b",16.42118500,571.77617000
"HAT-P-7 b",15.90557100,566.05523000
"HAT-P-7 b",16.71261900,534.59006000
"HAT-P-7 b",16.92559000,584.80720000
"HAT-P-7 b",16.41600000,
"HAT-P-7 b",15.27800000,564.44200000
"HAT-P-7 b",16.92559000,574.00098000
"HAT-P-7 b",,539.35751000
"HAT-P-7 b",16.05000000,
"HAT-P-7 b",,
"HAT-P-7 b",,
"HAT-P-7 b",22.30000000,
"HAT-P-7 b",16.39000000,
"HAT-P-7 b",16.39000000,
"HAT-P-7 b",16.39000000,
"HAT-P-7 b",16.10000000,
"HAT-P-7 b",,
"HAT-P-7 b",,
"HAT-P-7 b",17.97810000,
"HAT-P-7 b",,
"HAT-P-7 b",,
"HAT-P-7 b",16.25000000,
"HAT-P-7 b",16.90000000,584.80426888
"KELT-18 b",,
"Kepler-396 c",4.49500000,
"HAT-P-51 b",14.49323700,98.20947000
"HAT-P-9 b",,
"HATS-29 b",13.46198582,206.58846455
"Kepler-102 c",0.57000000,
"TOI-1130 b",3.56000000,19.28000000
"TOI-2669 b",19.72780603,193.87532827
"HATS-1 b",12.53990524,
"Kepler-91 b",15.39000000,
"HD 48948 d",,10.59000000
"CoRoT-11 b",16.02887000,832.71460000
"Kepler-378 b",2.38000000,
"K2-265 b",1.67000000,
"Kepler-487 b",11.42600000,
"K2-3 d",1.45800000,2.20000000
"WASP-60 b",9.63974000,160.50415000
"Kepler-422 b",,
"HATS-52 b",,
"Kepler-10 b",1.45000000,
"HAT-P-50 b",,
"HAT-P-51 b",14.49323700,98.84513000
"K2-403 b",5.33300000,
"Kepler-94 b",2.49000000,
"WASP-29 b",8.87800000,77.54700000
"HD 221416 b",7.81666588,
"Kepler-1517 b",22.27000000,
"Kepler-1517 b",20.24000000,
"WASP-29 b",,
"HD 221416 b",,
"WASP-29 b",,
"TOI-5734 b",2.40760015,
"Kepler-1517 b",8.86018514,
"WASP-29 b",,
"WASP-29 b",,
"TOI-5734 b",2.10000000,9.10000000
"TOI-5734 b",2.76000000,
"Kepler-406 b",1.32000000,
"Kepler-262 b",1.36100000,
"Kepler-1987 b",1.23000000,
"Kepler-991 b",2.73000000,
"TOI-700 e",0.94918578,
"TRAPPIST-1 c",1.09500000,1.15600000
"HAT-P-24 b",13.92157800,229.79109000
"WASP-126 c",,64.20000000
"Kepler-65 b",1.52100000,
"Kepler-1651 b",,
"Kepler-670 b",12.82000000,
"K2-115 b",11.50000000,
"K2-136 b",0.99000000,
"Kepler-37 c",0.71800000,
"Kepler-283 c",,
"TOI-199 b",10.22300000,
"Kepler-1263 b",1.03000000,
"K2-167 b",2.36509493,
"TOI-1246 c",2.51000000,8.80000000
"K2-348 b",3.26000000,
"TOI-5301 b",13.52923970,1080.61658380
"Kepler-37 d",1.90000000,
"K2-141 b",1.51000000,5.08000000
"Kepler-10 c",2.35100000,
"K2-165 d",2.64809498,
"TOI-1279 b",3.22647351,
"HD 106315 b",2.40000000,10.50000000
"Kepler-41 b",9.55006800,156.69019000
"HD 106315 c",4.37900000,12.00000000
"HD 106315 b",2.39124388,
"HD 106315 c",4.11610330,
"55 Cnc c",,52.44000000
"55 Cnc d",,1220.42000000
"K2-266 d",2.93000000,8.90000000
"47 UMa b",,804.08000000
"47 UMa d",,521.22000000
"55 Cnc e",2.00000000,8.63000000
"55 Cnc e",2.17300000,8.37000000
"47 UMa b",,877.17000000
"55 Cnc b",,289.21000000
"ups And b",,213.58176000
"ups And c",,610.23360000
"55 Cnc e",,7.46870000
"47 UMa b",,778.68350000
"61 Vir d",,22.90000000
"HD 3651 b",,63.56000000
"55 Cnc b",,249.17872000
"55 Cnc e",,14.30235000
"HD 147513 b",,385.00000000
"ups And b",,219.29000000
"ups And d",,1255.38000000
"HR 810 b",,676.97790000
"HD 160691 b",,626.12510000
"HD 160691 b",,540.31100000
"HD 160691 b",,530.75000000
"HD 160691 c",,985.23000000
"rho CrB b",,349.61300000
"HD 219134 b",1.60600000,4.33611990
"HD 219134 d",,8.94000000
"HD 219134 h",,71.00000000
"HD 219134 b",,3.81396000
"HD 219134 f",,8.89924000
"HD 219134 h",,108.06220000
"55 Cnc e",1.92000000,8.08000000
"HD 219134 h",,76.27920000
"eps Eri b",,540.31100000
"55 Cnc d",,1226.77000000
"55 Cnc e",,8.09479000
"WASP-98 b",12.82309600,293.03926000
"Kepler-856 b",9.30000000,
"Kepler-7 b",17.48400000,
"HAT-P-9 b",15.46842000,247.27174000
"Kepler-26 b",,
"Kepler-370 c",1.91000000,
"K2-261 b",9.26982704,68.96876432
"KOI-217 b",12.78000000,
"Kepler-15 b",11.97000000,
"TOI-782 b",2.59266525,
"TOI-3714 b",11.14172682,218.98377242
"TOI-1855 b",18.49481816,360.09958513
"K2-188 c",2.83000000,
"HATS-3 b",,
"NGTS-8 b",11.42420450,
"HD 18599 b",2.60000000,24.10000000
"TOI-5882 b",11.83668362,7720.05200603
"HAT-P-54 b",10.80000000,
"K2-34 b",,
"HD 93963 A c",2.99324000,
"Kepler-226 b",1.59000000,
"HATS-9 b",11.93758500,261.57409000
"WASP-141 b",13.56289000,854.96270000
"TOI-5398 b",10.30000000,58.70000000
"TOI-871 b",1.66400000,
"WASP-148 c",,124.58873554
"HD 152843 c",5.83000000,27.50000000
"WASP-61 b",13.89900000,654.70200000
"TOI-4153 b",16.11851425,365.50266805
"TOI-1052 c",,34.30000000
"GJ 806 b",1.67823000,
"HD 97658 b",2.34100000,7.86000000
"HD 97658 b",2.24700000,7.55000000
"HD 97658 b",,
"HD 97658 b",,8.20000000
"HD 106315 b",2.23000000,
"HD 106315 c",3.95000000,
"HD 106315 c",4.05000000,
"HD 106315 c",4.40000000,
"HD 106315 b",2.32948654,
"HD 106315 c",4.29405386,
"HD 106315 b",2.32000000,
"HD 106315 c",4.31000000,
"WASP-132 b",,
"WASP-189 b",,
"HD 106315 c",,
"HD 97658 b",,
"HD 106315 c",4.98000000,14.60000000
"HD 106315 b",,
"HD 106315 c",,
"K2-275 c",2.34000000,
"HD 118203 b",12.55405838,693.50158407
"TOI-2458 b",2.37973235,
"K2-132 b",14.57170000,155.73670000
"Kepler-14 b",12.21000000,
"K2-97 b",8.04276104,
"Kepler-43 b",12.49803500,982.09470000
"HATS-3 b",15.47962900,349.61300000
"Kepler-18 b",,
"TOI-2328 b",10.10670000,
"K2-165 c",1.55409035,
"WASP-197 b",14.31944190,
"HAT-P-46 b",,
"WASP-23 b",,
"Kepler-858 b",5.26000000,
"Kepler-77 b",10.43000000,
"Kepler-493 b",15.13000000,
"TOI-178 f",2.41700000,5.63000000
"K2-138 f",2.81000000,
"HATS-31 b",18.38276000,279.69040000
"Kepler-10 c",2.35000000,17.20000000
"HD 101581 c",1.02145994,
"TOI-1136 g",2.53000000,12.20000000
"TOI-1634 b",1.83038541,
"WASP-44 b",12.32990000,276.51210000
"TOI-1062 b",2.26500000,10.15000000
"K2-98 b",4.50000000,
"Kepler-10 c",2.35500000,11.40000000
"Kepler-792 b",,
"TOI-6038 A b",6.41000000,78.50000000
"Kepler-37 b",0.27600000,
"KOI-94 d",,
"WASP-91 b",,
"Kepler-102 b",0.54000000,
"Kepler-37 b",0.27600000,
"TOI-1347 b",1.81434694,12.20000000
"K2-39 b",5.71000000,39.80000000
"WASP-20 b",15.97460000,
"TOI-1736 b",2.44000000,12.80000000
"TOI-6651 b",5.09264000,
"HAT-P-3 b",,
"HAT-P-12 b",,
"HAT-P-13 b",,
"HAT-P-23 b",,
"HAT-P-40 b",,
"WASP-2 b",,
"WASP-14 b",,
"TOI-5344 b",9.66312000,
"HD 89345 b",6.97249322,
"WASP-44 b",12.77800000,282.53900000
"HD 160691 b",,532.97800000
"55 Cnc b",,263.97850000
"55 Cnc c",,54.47380000
"55 Cnc e",1.91000000,8.08000000
"HD 219134 b",1.60200000,4.74000000
"HD 219134 c",1.51100000,4.36000000
"HAT-P-67 b",23.37076500,108.06220000
"tau Cet g",,1.75000000
"tau Cet e",,3.93000000
"rho CrB b",,332.10000000
"HD 39091 b",,3070.23780000
"HD 136352 c",,10.80000000
"HD 136352 d",,8.58000000
"HD 3651 b",,72.46524000
"55 Cnc e",1.89700000,7.74000000
"55 Cnc e",,
"55 Cnc b",,255.40000000
"55 Cnc c",,51.20000000
"55 Cnc b",,261.88100000
"HD 141004 b",,13.63483866
"61 Vir c",,16.11390023
"61 Vir b",,5.11703735
"KOI-217 b",13.14000000,
"Kepler-45 b",11.25000000,
"Kepler-94 b",3.36000000,
"WASP-153 b",,
"TOI-5076 b",3.48935569,16.14568308
"WASP-101 b",,
"WASP-77 A b",,
"XO-4 b",,
"HD 102117 b",,44.49620000
"HD 106252 b",,2419.53800000
"Kepler-883 b",1.78000000,
"TOI-5489 b",1.46245738,
"Kepler-490 b",12.13000000,
"GJ 3470 b",,
"TOI-4377 b",14.36327424,
"WASP-20 b",,
"K2-188 b",1.35000000,
"Kepler-18 d",6.00000000,14.90000000
"TOI-172 b",,
"WASP-160 B b",12.54710000,
"K2-3 c",1.18000000,
"K2-3 b",2.14000000,8.10000000
"Kepler-396 b",2.95500000,
"Kepler-396 b",3.32000000,
"TOI-6628 b",9.90639000,
"WASP-116 b",13.67495645,203.41018048
"K2-277 b",2.18575124,
"Kepler-619 b",,
"MOA-2011-BLG-322L b",,3690.00000000
"Kepler-265 c",2.41000000,
"Kepler-550 b",4.42000000,
"Kepler-544 b",,
"Kepler-48 d",1.98000000,8.89085039
"Kepler-1409 b",0.96300000,
"OGLE-2011-BLG-0173L b",,2100.00000000
"Kepler-883 b",1.53000000,
"Kepler-544 b",1.97000000,
"K2-31 b",34.00000000,
"HIP 94235 b",3.20700000,
"HATS-11 b",,
"WASP-85 A b",10.60000000,
"K2-108 b",5.81000000,
"WASP-92 b",,
"TOI-1136 c",2.51593000,
"K2-199 b",,
"TRAPPIST-1 c",,
"WASP-189 b",17.93436912,
"HD 106315 b",2.25000000,10.10000000
"HD 97658 b",2.29300000,7.62000000
"K2-3 c",1.72000000,4.20000000
"Qatar-5 b",,
"TOI-1710 b",5.34000000,28.30000000
"Kepler-858 b",,
"K2-140 b",12.25000000,
"WASP-82 b",,
"HATS-41 b",11.54257023,
"K2-403 b",5.33300000,
"TOI-6330 b",10.46760000,
"TOI-1136 d",,8.35000000
"TOI-1294 c",,147.00000000
"Kepler-37 b",0.27000000,
"TOI-833 b",1.27000000,
"TOI-640 b",19.27944680,181.16219199
"K2-238 b",,
"HAT-P-11 b",,
"HD 101581 c",0.99000000,
"K2-30 b",,
"TOI-1437 b",2.24000000,9.60000000
"WASP-153 b",,
"Kepler-193 b",3.04000000,
"K2-3 d",1.65000000,1.80000000
"TOI-1272 b",4.13204907,27.00000000
"WASP-126 b",,90.30000000
"K2-3 d",,
"TOI-1136 b",1.90000000,
"WASP-113 b",,
"Qatar-7 b",,
"HATS-62 b",11.82549500,56.89157000
"Kepler-411 b",1.94000000,
"Kepler-670 b",14.48941740,
"Kepler-548 b",13.80172180,
"GJ 3470 b",4.13050781,
"K2-348 c",2.60000000,
"TOI-4794 b",13.73850000,
"Kepler-314 b",0.81000000,
"GJ 9827 b",,
"TrES-1 b",,
"Kepler-74 b",10.76000000,200.22000000
"TOI-5728 b",1.12696070,
"HATS-58 A b",,
"HATS-68 b",13.80948800,410.00070000
"HAT-P-4 b",,
"HAT-P-5 b",,
"Kepler-2000 b",2.59000000,
"Kepler-870 b",,
"Kepler-42 d",0.57000000,
"TOI-4504 c",11.09689089,1197.32317485
"HAT-P-32 b",,
"HAT-P-45 b",16.90823315,
"Kepler-424 b",10.96253267,
"WASP-57 b",10.26700000,213.57300000
"TOI-1516 b",17.27670000,
"Kepler-18 d",,8.70000000
"WASP-20 b",15.46839337,
"K2-388 b",3.66000000,
"Kepler-856 b",,
"Kepler-426 b",12.22000000,108.06000000
"TOI-1749 d",2.52000000,15.00000000
"HAT-P-6 b",,
"TOI-700 b",1.01000000,
"ups And c",,653.00000000
"WASP-144 b",14.77319991,
"HD 39091 b",,4481.38053870
"55 Cnc e",1.85600000,
"55 Cnc B b",,3.50000000
"55 Cnc c",,56.60000000
"55 Cnc f",,48.50000000
"HD 136352 c",2.85700000,11.22000000
"HD 136352 d",2.50700000,8.66000000
"TOI-1774.01",2.90000000,
"HD 85426 c",,10.30000000
"TOI-1518 b",21.05046575,581.62598481
"HAT-P-67 b",23.98721870,143.02278315
"AF Lep b",,1188.67824218
"HD 3651 b",,68.60000000
"HD 10647 b",,314.00000000
"eps Eri b",,186.00000000
"pi Men c",,4.20000000
"pi Men d",,15.90000000
"HD 69830 b",,10.86000000
"55 Cnc b",,240.00000000
"55 Cnc f",,40.40000000
"47 UMa b",,792.00000000
"61 Vir b",,5.80000000
"61 Vir d",,10.92000000
"HD 136352 c",,11.07000000
"rho CrB b",,393.00000000
"rho CrB c",,31.50000000
"HD 189567 b",,9.87000000
"HD 189567 c",,8.00000000
"HD 219134 b",,3.73000000
"HD 219134 d",,15.50000000
"HD 219134 h",,88.00000000
"Kepler-152 c",2.96000000,
"Kepler-1922 b",1.47000000,
"Kepler-118 c",5.89900000,
"GJ 238 b",0.57637819,
"Kepler-37 d",,
"HD 80653 b",,
"TOI-640 b",19.85113900,279.69040000
"K2-291 b",1.58900000,6.49000000
"TOI-2346 b",16.11851425,394.10722468
"TOI-277 b",4.25566447,
"GJ 357 b",,
"Kepler-1651 b",1.60000000,
"Qatar-2 b",,
"HAT-P-62 b",12.02723629,241.86741773
"Kepler-411 c",3.27000000,
"TOI-1408 b",25.00000000,593.00000000
"HAT-P-11 c",,
"Kepler-493 b",,
"HD 189733 b",,
"K2-260 b",18.79690000,
"K2-114 b",10.67000000,
"HD 118203 c",,3747.19691853
"HD 73344 d",,810.46243785
"K2-329 b",8.77232540,
"TOI-1298 b",9.65807033,99.00000000
"TOI-1685 b",1.46800000,3.03000000
"TOI-5736 b",1.56000000,
"HD 73583 c",1.99787000,
"Kepler-15 b",10.76000000,209.76000000
"TOI-1836 b",8.28055741,24.70000000
"HAT-P-26 b",7.09629938,
"KOI-94 b",1.58000000,
"HD 158259 e",,6.08000000
"HD 86226 c",,7.45000000
"TOI-283 b",2.01411000,
"CoRoT-12 b",16.14000000,291.43800000
"TOI-4507 b",8.20000000,20.00000000
"HAT-P-11 b",4.81987000,28.60470000
"K2-277 b",2.23000000,7.40000000
"Kepler-426 b",11.70000000,
"Kepler-487 d",2.79000000,
"TOI-715 b",1.55000000,
"WASP-93 b",,
"NGTS-1 b",10.61344808,
"WASP-44 b",,
"HATS-1 b",14.59411800,556.20250000
"LHS 1678 b",0.97187949,
"K2-232 b",12.77000000,
"HATS-5 b",10.21968330,
"TOI-1723 b",3.43500000,
"HATS-43 b",,
"HATS-29 b",12.96221900,
"OGLE-TR-113 b",,
"TOI-2969 b",12.33260000,
"Kepler-25 c",4.62700000,24.06546146
"TOI-663 c",2.26000000,3.65000000
"Kepler-435 b",,
"TOI-1801 b",2.07900000,5.73800000
"K2-30 b",11.98242100,187.20187000
"TOI-2545 b",2.55760211,
"TOI-406 c",1.27315538,
"Kepler-471 b",14.96000000,
"KOI-217 b",13.14000000,
"HATS-3 b",15.48000000,340.38200000
"K2-308 b",9.91600000,
"TOI-4961 b",13.44993018,
"TOI-1777.01",2.24600000,
"Kepler-426 b",,
"TOI-1452 b",1.61849438,
"TOI-3568 b",5.30000000,26.40000000
"K2-19 b",7.74000000,
"HAT-P-22 b",,
"TOI-150.01",14.06729500,797.75330000
"TOI-2295 c",,1783.01736327
"Kepler-37 d",1.94000000,12.20000000
"Kepler-37 d",1.99000000,
"WASP-73 b",15.91678000,908.99380000
"K2-30 b",12.30000000,
"TOI-2196 b",3.50302447,
"TOI-1836 c",2.59987579,8.00000000
"HD 77946 b",2.70500000,8.38000000
"HATS-61 b",13.39475500,1080.62200000
"NGTS-31 b",11.10570000,
"TOI-1669 c",2.34370000,
"CoRoT-13 b",14.03366800,416.99296000
"HAT-P-56 b",,
"HD 209458 b",,
"Kepler-25 b",3.40000000,
"HR 858 c",1.97900000,3.80000000
"Kepler-65 b",1.45200000,
"Kepler-210 c",4.26300000,
"TOI-907.01",9.61588510,
"WASP-119 b",,
"Kepler-63 b",5.57000000,
"TOI-700 b",0.96172883,
"HAT-P-54 b",,
"Kepler-14 b",9.86000000,
"Kepler-74 b",12.81700000,
"XO-5 b",,334.03933000
"TOI-216.02",7.69000000,30.00000000
"TOI-1470 b",2.18000000,7.32000000
"47 UMa d",,479.92089457
